Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.5098976109215017,0.5719048358138832,0.38910250645872413,1465.0,488.0
Transitional plain zone of Inland drainage,0.4805389221556886,0.49603938241217277,0.1919852683605192,668.0,123.0
Semi arid eastern plain,0.576,0.6101939203354297,0.5297185649277829,250.0,106.0
Transitional plain zone of Luni Basin,0.6197916666666666,0.4985271591846353,0.6713001204440228,192.0,123.0
Flood prone eastern plain,0.38461538461538464,0.37797498991528844,0.3205596621236521,104.0,37.0
Sub humid southern plain and alluvial hill,0.4888888888888889,0.49728260869565216,0.4847213506107705,90.0,44.0
South eastern humid plain,0.47540983606557374,0.5043956043956044,0.44800276617095813,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.4716981132075472,0.5505050505050505,0.19405217558725416,53.0,9.0
Southern humid plain,0.525,0.5,0.4384509325559763,40.0,18.0
Irrigated North Western Plain,0.5714285714285714,1.0,1.0,7.0,2.0
