Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.5453924914675768,0.7355741239892183,0.2012233635105766,1465.0,140.0
Transitional plain zone of Inland drainage,0.3158682634730539,0.585107347364286,0.22177778962586794,668.0,121.0
Semi arid eastern plain,0.584,0.5553221288515406,0.09215810042458879,250.0,12.0
Transitional plain zone of Luni Basin,0.8385416666666666,0.3650265957446809,0.0204667693827037,192.0,4.0
Flood prone eastern plain,0.9038461538461539,0.0,0.0,104.0,0.0
Sub humid southern plain and alluvial hill,0.6777777777777778,0.9233716475095786,0.5476190476190477,90.0,3.0
South eastern humid plain,0.8524590163934426,0.0,0.0,61.0,0.0
Arid Western Plain and Hyper Arid Partial irrigated,0.5849056603773585,0.0,0.0,53.0,0.0
Southern humid plain,0.975,0.0,0.0,40.0,0.0
Irrigated North Western Plain,0.5714285714285714,0.0,0.0,7.0,0.0
