Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7310580204778157,0.7074789773633031,0.2349906784030777,1465.0,153.0
Transitional plain zone of Inland drainage,0.5538922155688623,0.6087165981500514,0.2590451237102533,668.0,112.0
Semi arid eastern plain,0.9,0.49632653061224496,0.02941645682354224,250.0,5.0
Transitional plain zone of Luni Basin,0.8958333333333334,0.5390374331550802,0.2261245058962286,192.0,5.0
Flood prone eastern plain,0.8557692307692307,0.7209131075110456,0.15538799949414533,104.0,7.0
Sub humid southern plain and alluvial hill,0.9222222222222223,0.5402298850574713,0.053010907849617525,90.0,3.0
South eastern humid plain,0.9016393442622951,0.75,0.21601190476190474,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6415094339622641,0.6959706959706959,0.42767146819508517,53.0,14.0
Southern humid plain,0.975,0.33333333333333337,0.037037037037037035,40.0,1.0
Irrigated North Western Plain,0.5714285714285714,0.6,0.45,7.0,2.0
