Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.774061433447099,0.8020439560439561,0.18805231360150396,1465.0,65.0
Transitional plain zone of Inland drainage,0.844311377245509,0.704017094017094,0.19146823723087616,668.0,18.0
Semi arid eastern plain,0.844,0.816464237516869,0.20207803223070397,250.0,3.0
Transitional plain zone of Luni Basin,0.3958333333333333,0.652945716490867,0.20681935191881579,192.0,23.0
Flood prone eastern plain,0.9038461538461539,0.09708737864077666,0.010638297872340425,104.0,1.0
Sub humid southern plain and alluvial hill,0.7888888888888889,0.9717647058823529,0.6555555555555556,90.0,5.0
South eastern humid plain,0.6065573770491803,0.7457627118644068,0.282258064516129,61.0,2.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7169811320754716,0.7519230769230769,0.48772250844816567,53.0,13.0
Southern humid plain,0.9,0.0,0.0,40.0,0.0
Irrigated North Western Plain,1.0,0.0,0.0,7.0,0.0
