Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6716723549488055,0.759342961894055,0.6180020886184908,1465.0,488.0
Transitional plain zone of Inland drainage,0.7380239520958084,0.6548071902737376,0.3243179503634155,668.0,123.0
Semi arid eastern plain,0.596,0.6939858490566038,0.6076749105829792,250.0,106.0
Transitional plain zone of Luni Basin,0.6666666666666666,0.7238128903028161,0.8317376901805579,192.0,123.0
Flood prone eastern plain,0.5769230769230769,0.6982654296087132,0.6104932943208874,104.0,37.0
Sub humid southern plain and alluvial hill,0.5777777777777777,0.6316699604743083,0.6426507126381421,90.0,44.0
South eastern humid plain,0.639344262295082,0.7714285714285715,0.6999674658762296,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6226415094339622,0.6262626262626263,0.26237830522727545,53.0,9.0
Southern humid plain,0.675,0.7828282828282828,0.7153247496384751,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.39999999999999997,0.3333333333333333,7.0,2.0
