Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6279863481228669,0.7543504043126685,0.25234870420562155,1465.0,140.0
Transitional plain zone of Inland drainage,0.49850299401197606,0.6771647000166197,0.3002065634908967,668.0,121.0
Semi arid eastern plain,0.644,0.7202380952380952,0.19033662711641103,250.0,12.0
Transitional plain zone of Luni Basin,0.6510416666666666,0.3158244680851064,0.018485017617258757,192.0,4.0
Flood prone eastern plain,0.8557692307692307,0.0,0.0,104.0,0.0
Sub humid southern plain and alluvial hill,0.7777777777777778,0.6781609195402298,0.0684981684981685,90.0,3.0
South eastern humid plain,0.819672131147541,0.0,0.0,61.0,0.0
Arid Western Plain and Hyper Arid Partial irrigated,0.9056603773584906,0.0,0.0,53.0,0.0
Southern humid plain,0.95,0.0,0.0,40.0,0.0
Irrigated North Western Plain,0.8571428571428571,0.0,0.0,7.0,0.0
