Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7276450511945393,0.6749611429937828,0.1941450988178905,1465.0,153.0
Transitional plain zone of Inland drainage,0.75,0.6930642985611511,0.3164447994317672,668.0,112.0
Semi arid eastern plain,0.924,0.6481632653061224,0.04524851307618298,250.0,5.0
Transitional plain zone of Luni Basin,0.5052083333333334,0.879144385026738,0.45773495835993055,192.0,5.0
Flood prone eastern plain,0.7692307692307693,0.4234167893961709,0.07533867341618578,104.0,7.0
Sub humid southern plain and alluvial hill,0.6777777777777778,0.7471264367816092,0.08704906204906204,90.0,3.0
South eastern humid plain,0.6557377049180327,0.4298245614035088,0.10174603174603175,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.32075471698113206,0.6227106227106227,0.43209129440571226,53.0,14.0
Southern humid plain,0.925,0.7948717948717949,0.1111111111111111,40.0,1.0
Irrigated North Western Plain,0.2857142857142857,0.2,0.26785714285714285,7.0,2.0
