Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.6860068259385665,0.7412600466466432,0.5861851614613092,1465.0,488.0
Transitional plain zone of Inland drainage,0.7350299401197605,0.6497575893190125,0.3310705759275255,668.0,123.0
Semi arid eastern plain,0.584,0.6521226415094341,0.5592635095639079,250.0,106.0
Transitional plain zone of Luni Basin,0.6979166666666666,0.6956521739130436,0.7816163193098811,192.0,123.0
Flood prone eastern plain,0.7307692307692307,0.7648245260185559,0.6877812563333132,104.0,37.0
Sub humid southern plain and alluvial hill,0.6111111111111112,0.7191205533596837,0.7145894248817428,90.0,44.0
South eastern humid plain,0.6229508196721312,0.6714285714285715,0.5650440185425063,61.0,26.0
Arid Western Plain and Hyper Arid Partial irrigated,0.660377358490566,0.6060606060606061,0.38532732476816145,53.0,9.0
Southern humid plain,0.65,0.7474747474747475,0.6891148067618655,40.0,18.0
Irrigated North Western Plain,0.5714285714285714,0.3,0.30952380952380953,7.0,2.0
