Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.9344709897610921,0.8457912087912087,0.3723166715819487,1465.0,65.0
Transitional plain zone of Inland drainage,0.9580838323353293,0.8436752136752136,0.3460854253598109,668.0,18.0
Semi arid eastern plain,0.984,0.6005398110661269,0.12362714556227475,250.0,3.0
Transitional plain zone of Luni Basin,0.8229166666666666,0.774376125546694,0.45001773585173804,192.0,23.0
Flood prone eastern plain,0.9807692307692307,0.941747572815534,0.14285714285714285,104.0,1.0
Sub humid southern plain and alluvial hill,0.9,0.7152941176470589,0.20028248587570624,90.0,5.0
South eastern humid plain,0.9508196721311475,0.847457627118644,0.55,61.0,2.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6981132075471698,0.7250000000000001,0.46712629741673195,53.0,13.0
Southern humid plain,1.0,0.0,0.0,40.0,0.0
Irrigated North Western Plain,1.0,0.0,0.0,7.0,0.0
