Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7651877133105802,0.7580964356582731,0.5178362010960665,1465.0,333.0
Transitional plain zone of Inland drainage,0.7305389221556886,0.7565993837640697,0.4875900567466263,668.0,155.0
Semi arid eastern plain,0.796,0.7144604844629312,0.5595439331186423,250.0,67.0
Transitional plain zone of Luni Basin,0.9322916666666666,0.837769964841788,0.2816211491164684,192.0,11.0
Flood prone eastern plain,0.7115384615384616,0.8321903993545785,0.7344423055332185,104.0,37.0
Sub humid southern plain and alluvial hill,0.7777777777777778,0.6623376623376623,0.2483588147328606,90.0,13.0
South eastern humid plain,0.7213114754098361,0.6705426356589148,0.4607539727632341,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7358490566037735,0.5788461538461539,0.39902185210098245,53.0,13.0
Southern humid plain,0.625,0.6994949494949494,0.6987398752689133,40.0,18.0
Irrigated North Western Plain,0.42857142857142855,0.0,0.14285714285714285,7.0,1.0
