Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.8416382252559726,0.8261348238482384,0.3723151784081513,1465.0,153.0
Transitional plain zone of Inland drainage,0.7425149700598802,0.7808886819116135,0.4013549252913422,668.0,112.0
Semi arid eastern plain,0.976,0.603265306122449,0.029609772924559737,250.0,5.0
Transitional plain zone of Luni Basin,0.9635416666666666,0.5967914438502674,0.298459595959596,192.0,5.0
Flood prone eastern plain,0.8653846153846154,0.7665684830633284,0.1826134131286356,104.0,7.0
Sub humid southern plain and alluvial hill,0.9555555555555556,0.9042145593869731,0.44345238095238093,90.0,3.0
South eastern humid plain,0.8688524590163934,0.6403508771929826,0.21123931623931624,61.0,4.0
Arid Western Plain and Hyper Arid Partial irrigated,0.660377358490566,0.7417582417582418,0.4208690146018882,53.0,14.0
Southern humid plain,0.975,0.5384615384615384,0.05263157894736842,40.0,1.0
Irrigated North Western Plain,0.7142857142857143,0.6,0.6666666666666666,7.0,2.0
