Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.9351535836177475,0.8927142857142858,0.47981482144123067,1465.0,65.0
Transitional plain zone of Inland drainage,0.9670658682634731,0.8743589743589744,0.40799526566447364,668.0,18.0
Semi arid eastern plain,0.972,0.7705802968960864,0.19156346749226005,250.0,3.0
Transitional plain zone of Luni Basin,0.8072916666666666,0.8456393105222536,0.6246549555780732,192.0,23.0
Flood prone eastern plain,0.9615384615384616,0.970873786407767,0.25,104.0,1.0
Sub humid southern plain and alluvial hill,0.9444444444444444,0.924705882352941,0.6972527472527472,90.0,5.0
South eastern humid plain,0.8524590163934426,0.652542372881356,0.5232558139534884,61.0,2.0
Arid Western Plain and Hyper Arid Partial irrigated,0.7924528301886793,0.7961538461538462,0.5500231665585935,53.0,13.0
Southern humid plain,1.0,0.0,0.0,40.0,0.0
Irrigated North Western Plain,1.0,0.0,0.0,7.0,0.0
