Zone,Accuracy,AUC,AP,Count,Positive Samples
Total,0.7296928327645051,0.7649301244707605,0.522082774178128,1465.0,333.0
Transitional plain zone of Inland drainage,0.6991017964071856,0.7845437967679055,0.520855248109875,668.0,155.0
Semi arid eastern plain,0.752,0.7299567735095016,0.5349135785476408,250.0,67.0
Transitional plain zone of Luni Basin,0.9166666666666666,0.8061275740833752,0.3329334150567897,192.0,11.0
Flood prone eastern plain,0.6538461538461539,0.7414279951593384,0.6737268363041782,104.0,37.0
Sub humid southern plain and alluvial hill,0.7555555555555555,0.6673326673326674,0.22608533705549977,90.0,13.0
South eastern humid plain,0.6557377049180327,0.6059431524547804,0.3980508294719544,61.0,18.0
Arid Western Plain and Hyper Arid Partial irrigated,0.6415094339622641,0.6846153846153846,0.4579643622133476,53.0,13.0
Southern humid plain,0.65,0.8131313131313131,0.8193705241119034,40.0,18.0
Irrigated North Western Plain,0.2857142857142857,0.0,0.14285714285714285,7.0,1.0
