Zone,Count,Proportion
Total,1122,1.0
Transitional plain zone of Inland drainage,946,0.8431372549019608
Semi arid eastern plain,114,0.10160427807486631
Transitional plain zone of Luni Basin,19,0.01693404634581105
Sub humid southern plain and alluvial hill,16,0.0142602495543672
Flood prone eastern plain,9,0.008021390374331552
South eastern humid plain,9,0.008021390374331552
Arid Western Plain and Hyper Arid Partial irrigated,6,0.0053475935828877
Southern humid plain,2,0.0017825311942959
Irrigated North Western Plain,1,0.00089126559714795
