Zone,Count,Proportion
Total,3889,1.0
Transitional plain zone of Inland drainage,1009,0.25944973000771404
Semi arid eastern plain,872,0.22422216508099768
Transitional plain zone of Luni Basin,748,0.19233736178966315
Sub humid southern plain and alluvial hill,408,0.10491128824890718
Flood prone eastern plain,345,0.08871175109282592
South eastern humid plain,208,0.05348418616610954
Southern humid plain,173,0.04448444330161996
Arid Western Plain and Hyper Arid Partial irrigated,113,0.029056312676780664
Irrigated North Western Plain,13,0.003342761635381846
