Zone,Count,Proportion
Total,1226,1.0
Transitional plain zone of Inland drainage,882,0.7194127243066885
Arid Western Plain and Hyper Arid Partial irrigated,110,0.08972267536704731
Flood prone eastern plain,83,0.06769983686786298
Transitional plain zone of Luni Basin,52,0.04241435562805873
Semi arid eastern plain,30,0.024469820554649267
Sub humid southern plain and alluvial hill,29,0.02365415986949429
South eastern humid plain,22,0.01794453507340946
Irrigated North Western Plain,11,0.00897226753670473
Southern humid plain,7,0.005709624796084829
