Zone,Count,Proportion
Total,2685,1.0
Transitional plain zone of Inland drainage,1308,0.4871508379888268
Semi arid eastern plain,420,0.1564245810055866
Flood prone eastern plain,298,0.11098696461824953
Southern humid plain,205,0.07635009310986965
Sub humid southern plain and alluvial hill,140,0.0521415270018622
South eastern humid plain,105,0.03910614525139665
Transitional plain zone of Luni Basin,103,0.03836126629422719
Arid Western Plain and Hyper Arid Partial irrigated,81,0.030167597765363128
Irrigated North Western Plain,25,0.00931098696461825
