filename,zone
M00950SZNK_chipid86.tiff,UNKNOWN
1BNNUKZ07H_chipid652.tiff,7a
UR2RFGC9UC_chipid502.tiff,6b
HTJ4X2EWVL_chipid1056.tiff,8b
3ACFWUHOVA_chipid409.tiff,6a
6KB2FT2JZ7_chipid139.tiff,10a
RH6HK8VHFV_chipid282.tiff,10b
3M30138IXI_chipid172.tiff,10a
UMD9BW8529_chipid1247.tiff,9b
4CHG8FLKHI_chipid1276.tiff,9b
7SYHGBTLHZ_chipid943.tiff,8a
P70XMEO14A_chipid177.tiff,10a
35ATVH1KK8_chipid1069.tiff,8b
4HQOQI64KS_chipid1259.tiff,9b
53SMG8C1VI_chipid679.tiff,7a
PM47VNFAPF_chipid934.tiff,8a
Z6QYNE0T86_chipid1198.tiff,9a
ALFQHVQORY_chipid246.tiff,10b
MVG3PY4HM5_chipid821.tiff,7b
NGIHELEA7Y_chipid1281.tiff,9b
HY3V7DBQ95_chipid504.tiff,6b
2DT9JZHMWJ_chipid1179.tiff,9a
B7IAS94NQ6_chipid907.tiff,8a
6CXBJ8290Q_chipid287.tiff,10b
CWM8IEODYD_chipid662.tiff,7a
C1PXEVJZYS_chipid630.tiff,7a
OU76ISEP0D_chipid866.tiff,8a
DJZSN7PG28_chipid1108.tiff,9a
EZQYVUVO44_chipid1241.tiff,9b
QI35XKLOWT_chipid653.tiff,7a
KGFPRQY82J_chipid1290.tiff,9b
KJ2IZXBEFB_chipid577.tiff,6b
BBWJFR1IZV_chipid734.tiff,7b
I0TICUZ7PD_chipid1285.tiff,9b
RDN8SR4864_chipid23.tiff,UNKNOWN
S8XLGEJ7HU_chipid395.tiff,6a
OD3HN0WO90_chipid253.tiff,10b
S046T13YAV_chipid186.tiff,10a
0MYOWV203G_chipid213.tiff,10a
8RSB5ICPKM_chipid330.tiff,10b
GX0A893GDF_chipid221.tiff,10a
3TG2UL42TH_chipid259.tiff,10b
ET751O0DQE_chipid421.tiff,6a
L38SCHBL8W_chipid547.tiff,6b
TGKJZ0SE38_chipid234.tiff,10a
71P168HW4M_chipid1116.tiff,9a
ZBDGAL4H4D_chipid109.tiff,UNKNOWN
LVW3DYQUSB_chipid291.tiff,10b
5WHP0M2GZV_chipid525.tiff,6b
L2TJVRQR14_chipid612.tiff,7a
WKHURWZREI_chipid813.tiff,7b
J929TTSLAI_chipid1127.tiff,9a
7BTRFVO7GQ_chipid1329.tiff,9b
TCUKZIKM2C_chipid553.tiff,6b
1YCYTNRY1E_chipid101.tiff,UNKNOWN
BPC39DBXBA_chipid581.tiff,6b
