filename,zone
D1252OZWI2_chipid4685.tiff,HILL
QCR396O60Z_chipid432.tiff,WESTERN TRANSITION
6EDF3AQDPD_chipid42.tiff,NORTH EAST DRY
FT542RFW6S_chipid4605.tiff,HILL
6KD2LYCLX3_chipid213.tiff,NORTH EAST DRY
D36EOUHJ25_chipid1839.tiff,WESTERN TRANSITION
E8D0RD9P2Z_chipid171.tiff,NORTH EAST DRY
09QABLF6GG_chipid1880.tiff,WESTERN TRANSITION
49BGF45HNR_chipid178.tiff,NORTHERN DRY
J4KK7T5RAC_chipid238.tiff,NORTH EAST DRY
U9ZAEP8EMI_chipid1031.tiff,NORTHERN DRY
Q0O7FG5S0B_chipid641.tiff,WESTERN TRANSITION
4NEPDM8R2P_chipid1715.tiff,SOUTHERN DRY
Q9EXU2KJ9L_chipid4674.tiff,HILL
5F3ENPAFRW_chipid323.tiff,COASTAL
WK4XM7ENSZ_chipid1792.tiff,NORTHERN DRY
ZOQEQX9RV2_chipid21.tiff,HILL
6UT18ZIRUL_chipid4201.tiff,HILL
3QSH3CEO0J_chipid1465.tiff,HILL
VFZ0SEBA34_chipid32.tiff,NORTH EAST DRY
AQGHX0564T_chipid89.tiff,HILL
TF23S7D28J_chipid938.tiff,SOUTHERN DRY
XKA1LCY1QH_chipid1473.tiff,HILL
YT9VQMZ8P5_chipid1198.tiff,COASTAL
V6K20843ZZ_chipid118.tiff,NORTH EAST DRY
TRRWPN4LW7_chipid1507.tiff,HILL
L4VS4Z2FO5_chipid688.tiff,WESTERN TRANSITION
IHYB9H3XGD_chipid474.tiff,COASTAL
GKT7M6JQU4_chipid2992.tiff,HILL
LZLW6A35IR_chipid469.tiff,COASTAL
LCNSNMM3JW_chipid773.tiff,WESTERN TRANSITION
DH19QKKX3K_chipid1692.tiff,SOUTHERN DRY
UOWWHGSQOZ_chipid1422.tiff,NORTHERN DRY
23XDWJCBRN_chipid216.tiff,NORTH EAST DRY
ZSF6D4QSQG_chipid38.tiff,COASTAL
85A9Y5IJ2K_chipid362.tiff,HILL
CAEF0HX4Y2_chipid2017.tiff,COASTAL
Z2GUB73TKA_chipid2014.tiff,COASTAL
E5KV24M1PQ_chipid969.tiff,SOUTHERN DRY
N9POBRBAG5_chipid474.tiff,NORTH EAST DRY
C5NPMW8ZXL_chipid1010.tiff,SOUTHERN DRY
3A6EVEMBOF_chipid1074.tiff,SOUTHERN DRY
P2IFQW3ASS_chipid1085.tiff,SOUTHERN DRY
VI6X9KUQPC_chipid3021.tiff,HILL
74AH3HWJFT_chipid3065.tiff,HILL
Z3HXXBBVKN_chipid981.tiff,SOUTHERN DRY
MXY0CUWVJW_chipid1055.tiff,NORTHERN DRY
R30EGYZVJR_chipid30.tiff,NORTH EAST DRY
KRR8POTA17_chipid120.tiff,NORTH EAST DRY
PYQEK5BPYH_chipid851.tiff,SOUTHERN DRY
J0UXQC87SV_chipid225.tiff,NORTH EAST DRY
WJTQ1ZGLYQ_chipid4546.tiff,HILL
681ZF64YT1_chipid1742.tiff,NORTHERN DRY
6AD92DZ1YI_chipid5054.tiff,HILL
DGFKCCIJQH_chipid359.tiff,HILL
MCAMK70L0H_chipid0.tiff,COASTAL
9HTCYE8OKW_chipid3019.tiff,HILL
QTU1A0F795_chipid1028.tiff,NORTHERN DRY
1ZKGNQ2GCS_chipid3849.tiff,HILL
KH5WYX2TTX_chipid1901.tiff,SOUTHERN DRY
IAYZXSBC3Z_chipid2597.tiff,WESTERN TRANSITION
TBIUB274KV_chipid3905.tiff,WESTERN TRANSITION
HRQSHI1995_chipid145.tiff,NORTH EAST DRY
OBCJ84NNDX_chipid1649.tiff,SOUTHERN DRY
0RN203GHKK_chipid113.tiff,NORTH EAST DRY
8GQ05RX2CB_chipid1680.tiff,SOUTHERN DRY
U7R9ZENWC1_chipid28.tiff,NORTH EAST DRY
GQUOYAKQ9M_chipid893.tiff,COASTAL
KTCSIVP8VU_chipid673.tiff,WESTERN TRANSITION
VPKR7FAK8L_chipid2572.tiff,WESTERN TRANSITION
ZBQL37CX6G_chipid79.tiff,HILL
3L2L9Q1HRL_chipid7.tiff,HILL
ZA94LIPBV5_chipid1413.tiff,HILL
E4SYKKR8WA_chipid139.tiff,NORTH EAST DRY
4D53NWRVYZ_chipid2058.tiff,HILL
2TPTT5O2PW_chipid833.tiff,COASTAL
SWNMRD7E38_chipid1932.tiff,SOUTHERN DRY
CFHDE4TIEI_chipid3896.tiff,WESTERN TRANSITION
S8VWQBWMM3_chipid826.tiff,COASTAL
0U4VSE1YDR_chipid4179.tiff,HILL
0VARWQ2XI6_chipid3927.tiff,WESTERN TRANSITION
LEUKPKDHOV_chipid421.tiff,WESTERN TRANSITION
VSQE53AH61_chipid2233.tiff,SOUTHERN DRY
TCHX708VYZ_chipid51.tiff,COASTAL
ISY88EGW65_chipid2015.tiff,COASTAL
JQPN1E1K97_chipid182.tiff,NORTH EAST DRY
DDDVH27XPK_chipid683.tiff,WESTERN TRANSITION
QVOF3UQHHQ_chipid965.tiff,SOUTHERN DRY
Q2X443BFLZ_chipid154.tiff,NORTHERN DRY
UB73R87ZQ7_chipid166.tiff,NORTH EAST DRY
YABSJ02HHI_chipid99.tiff,HILL
UM63T2Y06Y_chipid121.tiff,NORTH EAST DRY
EVPYOWDFJF_chipid1517.tiff,HILL
EMADCM1TGV_chipid676.tiff,WESTERN TRANSITION
