district,status,zone
Adilabad,MISSING,NEEDS_MAPPING
Agra,MISSING,NEEDS_MAPPING
Ahmadabad,MISSING,NEEDS_MAPPING
Ahmadnagar,MISSING,NEEDS_MAPPING
Aizawl,MISSING,NEEDS_MAPPING
Ajmer,MISSING,NEEDS_MAPPING
Akola,MISSING,NEEDS_MAPPING
Alappuzha,MISSING,NEEDS_MAPPING
Aligarh,MISSING,NEEDS_MAPPING
Alirajpur,MISSING,NEEDS_MAPPING
Allahabad,MISSING,NEEDS_MAPPING
Almora,MISSING,NEEDS_MAPPING
Alwar,MISSING,NEEDS_MAPPING
Ambala,MISSING,NEEDS_MAPPING
Ambedkar Nagar,MISSING,NEEDS_MAPPING
Amravati,MISSING,NEEDS_MAPPING
Amreli,MISSING,NEEDS_MAPPING
Amritsar,MISSING,NEEDS_MAPPING
Anand,MISSING,NEEDS_MAPPING
Anantapur,MISSING,NEEDS_MAPPING
Anantnag,MISSING,NEEDS_MAPPING
Anjaw,MISSING,NEEDS_MAPPING
Anugul,MISSING,NEEDS_MAPPING
Anuppur,MISSING,NEEDS_MAPPING
Araria,MISSING,NEEDS_MAPPING
Ariyalur,MISSING,NEEDS_MAPPING
Arwal,MISSING,NEEDS_MAPPING
Ashoknagar,MISSING,NEEDS_MAPPING
Auraiya,MISSING,NEEDS_MAPPING
Aurangabad,MISSING,NEEDS_MAPPING
Azamgarh,MISSING,NEEDS_MAPPING
Badgam,MISSING,NEEDS_MAPPING
Bagalkot,MISSING,NEEDS_MAPPING
Bageshwar,MISSING,NEEDS_MAPPING
Baghpat,MISSING,NEEDS_MAPPING
Bahraich,MISSING,NEEDS_MAPPING
Baksa,MISSING,NEEDS_MAPPING
Balaghat,MISSING,NEEDS_MAPPING
Balangir,MISSING,NEEDS_MAPPING
Baleshwar,MISSING,NEEDS_MAPPING
Ballia,MISSING,NEEDS_MAPPING
Balrampur,MISSING,NEEDS_MAPPING
Banas Kantha,MISSING,NEEDS_MAPPING
Banda,MISSING,NEEDS_MAPPING
Bandipore,MISSING,NEEDS_MAPPING
Bangalore,MISSING,NEEDS_MAPPING
Bangalore Rural,MISSING,NEEDS_MAPPING
Banka,MISSING,NEEDS_MAPPING
Bankura,MISSING,NEEDS_MAPPING
Banswara,MISSING,NEEDS_MAPPING
Bara Banki,MISSING,NEEDS_MAPPING
Baramula,MISSING,NEEDS_MAPPING
Baran,MISSING,NEEDS_MAPPING
Barddhaman,MISSING,NEEDS_MAPPING
Bareilly,MISSING,NEEDS_MAPPING
Bargarh,MISSING,NEEDS_MAPPING
Barmer,MISSING,NEEDS_MAPPING
Barnala,MISSING,NEEDS_MAPPING
Barpeta,MISSING,NEEDS_MAPPING
Barwani,MISSING,NEEDS_MAPPING
Bastar,MISSING,NEEDS_MAPPING
Basti,MISSING,NEEDS_MAPPING
Bathinda,MISSING,NEEDS_MAPPING
Bauda,MISSING,NEEDS_MAPPING
Begusarai,MISSING,NEEDS_MAPPING
Belgaum,MISSING,NEEDS_MAPPING
Bellary,MISSING,NEEDS_MAPPING
Betul,MISSING,NEEDS_MAPPING
